apparel,occasion,dress code
pant,interview,biz casual
sweater,sell dinner,biz formal
jacket,first day,smart casual
coat,client meeting,tech casual
dress,happy hour,
skirt,casual friday,
blazer,day to day,
blouse,big presentation,
top,,
suit,,
