sku_id,brand,name,image_1,image_2,price,apparel,occasion,dress_code,url,,,,,,,,,,
26,Banana Republic,V-NECK RUFFLE TANK,BR19.jpg,BR20.jpg,68,top,"day to day, casual friday","biz casual, smart casual",http://bananarepublic.gap.com/browse/product.do?cid=1050295&vid=1&pid=185435012,,,,,,,,,,
27,Banana Republic,RILEY-FIT COBALT SHIRT,BR21.jpg,BR22.jpg,68,blouse,"day to day, casual friday","biz casual, smart casual",http://bananarepublic.gap.com/browse/product.do?cid=1050292&vid=1&pid=186547002,,,,,,,,,,
28,Banana Republic,EXTRA-FINE MERINO WOOL PULLOVER SWEATER,BR23.jpg,BR24.jpg,78,sweater,"happy hour, day to day, casual friday","biz casual, smart casual",http://bananarepublic.gap.com/browse/product.do?cid=77996&vid=1&pid=174620032,,,,,,,,,,
29,Banana Republic,POINTELLE PIMA COTTON CASHMERE VEE PULLOVER,BR25.jpg,BR26.jpg,78,sweater,"happy hour, day to day, casual friday","biz casual, smart casual",http://bananarepublic.gap.com/browse/product.do?cid=77996&vid=1&pid=183818002,,,,,,,,,,
30,Banana Republic,PIMA COTTON CASHMERE TURTLENECK SWEATER,BR27.jpg,BR28.jpg,68,sweater,"happy hour, day to day, casual friday","biz casual, smart casual",http://bananarepublic.gap.com/browse/product.do?cid=77996&vid=1&pid=183815032,,,,,,,,,,
31,Banana Republic,Sloan-Fit Garment-Dye Utility Ankle Pant,BR29.jpg,BR30.jpg,88,pant,"day to day, happy hour, casual friday","smart casual, tech casual",http://bananarepublic.gap.com/browse/product.do?cid=1009305&vid=1&pid=170633012,,,,,,,,,,
32,Banana Republic,WATERCOLOR PLEATED SKIRT,BR31.jpg,BR32.jpg,129.99,skirt,"day to day, happy hour, client meeting",biz casual,http://bananarepublic.gap.com/browse/product.do?pid=183980,,,,,,,,,,
33,Banana Republic,GRAY LIGHTWEIGHT WOOL PENCIL SKIRT,BR33.jpg,BR34.jpg,89.5,skirt,"day to day, happy hour",biz casual,http://bananarepublic.gap.com/browse/product.do?cid=35288&vid=1&pid=673376002,,,,,,,,,,
34,Ann Taylor,ALL-SEASON STRETCH ONE BUTTON JACKET,AT12.jpg,AT13.jpg,169,"blazer, suit","interview, first day, client meeting, big presentation",biz formal,http://www.anntaylor.com/all-season-stretch-one-button-jacket/379001?skuId=19196015&defaultColor=1878&colorExplode=false&catid=cata000013,,,,,,,,,,
35,Ann Taylor,ANN ALL-SEASON STRETCH TROUSERS,AT14.jpg,AT15.jpg,98,"pant, suit","interview, first day, client meeting, big presentation","biz casual, biz formal",http://www.anntaylor.com/ann-all-season-stretch-trousers/379522,,,,,,,,,,
