sku_id,brand,name,image_1,image_2,price,apparel,occasion,dress_code,url,discount,weather,geography,colors,accessory
449586616,Paige,PAIGE 'Transcend - Skyline' Bootcut Jeans (Valor),https://resources.shopstyle.com/pim/5d/4c/5d4c2500586e0833d9a90861ccccc430_best.jpg,199.0,"Bootcut Denim, Flare Denim, Stretch Denim",,,http://www.shopstyle.com/p/paige-transcend-skyline-bootcut-jeans-valor/449586616?pid=uid849-34126543-19,,,,,
459992953,Hudson,Hudson Jeans Signature Bootcut Jeans (New Stella),https://resources.shopstyle.com/pim/18/02/1802f2395f70f3ca87bf1b781af4cc75_best.jpg,189.0,Bootcut Denim,,,http://www.shopstyle.com/p/hudson-signature-bootcut-jeans-new-stella/459992953?pid=uid849-34126543-19,,,,,
510417219,Paige,PAIGE 'Transcend - Hidden Hills' Bootcut Jeans (Bette),https://resources.shopstyle.com/pim/1e/84/1e84310bbc74f60bc38b4299a15e8d5d_best.jpg,199.0,Bootcut Denim,,,http://www.shopstyle.com/p/paige-transcend-hidden-hills-bootcut-jeans-bette/510417219?pid=uid849-34126543-19,,,,,
533722547,Lucky Brand,Lucky Brand 'Hayden' Stretch Bootcut Jeans,https://resources.shopstyle.com/pim/40/af/40afa7e57cf31ef2e88de010f392b5a3_best.jpg,109.0,"Bootcut Denim, Stretch Denim",,,http://www.shopstyle.com/p/lucky-brand-hayden-stretch-bootcut-jeans/533722547?pid=uid849-34126543-19,,,,,
492873956,Hudson,Hudson Jeans 'Beth' Baby Bootcut Jeans (Black),https://resources.shopstyle.com/pim/4e/73/4e733d3236fa963625ae5cdad8c200d7_best.jpg,176.0,Bootcut Denim,,,http://www.shopstyle.com/p/hudson-beth-baby-bootcut-jeans-black/492873956?pid=uid849-34126543-19,,,,,
511428202,7 For All Mankind,7 For All Mankind ® Bootcut Jeans (Nouveau NY Dark),https://resources.shopstyle.com/pim/38/40/38405e67f635b11eae40fbbb05953462_best.jpg,178.0,Bootcut Denim,,,http://www.shopstyle.com/p/7-for-all-mankind-bootcut-jeans-nouveau-ny-dark/511428202?pid=uid849-34126543-19,,,,,
458311351,AG Jeans,AG 'The New Angel' Bootcut Jeans (4 Years Summer Blues),https://resources.shopstyle.com/pim/98/35/9835c7945222bf381f44e5a0acfd8e6a_best.jpg,225.0,"Bootcut Denim, Flare Denim",,,http://www.shopstyle.com/p/ag-jeans-the-new-angel-bootcut-jeans-4-years-summer-blues/458311351?pid=uid849-34126543-19,,,,,
522364227,Karen Kane,Karen Kane Pull-On Stretch Bootcut Jeans,https://resources.shopstyle.com/pim/cb/a4/cba4dc076748bc19c0d3d8e36d70f3cb_best.jpg,138.0,"Bootcut Denim, Skinny Denim, Stretch Denim",,,http://www.shopstyle.com/p/karen-kane-pull-on-stretch-bootcut-jeans/522364227?pid=uid849-34126543-19,,,,,
484846877,NYDJ,NYDJ 'Barbara' Stretch Bootcut Jeans (Burbank) (Regular & Petite),https://resources.shopstyle.com/pim/f0/7c/f07cc9e298311937dcf860e46ef022a1_best.jpg,114.0,"Bootcut Denim, Stretch Denim",,,http://www.shopstyle.com/p/nydj-barbara-stretch-bootcut-jeans-burbank-regular-petite/484846877?pid=uid849-34126543-19,,,,,
526466616,Hudson,Hudson Jeans 'Beth' Baby Bootcut Jeans (Warrant),https://resources.shopstyle.com/pim/f3/ca/f3cabb1bce064f5ec7856e39607bf87f_best.jpg,190.0,"Bootcut Denim, Stretch Denim",,,http://www.shopstyle.com/p/hudson-beth-baby-bootcut-jeans-warrant/526466616?pid=uid849-34126543-19,,,,,
