name,id
Body Moisturizers,body-moisturizers
Body Lotions & Creams,body-lotions-creams
Body Oils,body-oils
Treatments,body-treatments
All Over Body Treatments Treatments,all-over-body-treatments
Body Scrubs & Exfoliants,body-scrubs-exfoliants
Cellulite Treatments,cellulite-treatments
Neck & Decollete,neck-decollete
Hand Treatments,hand-treatments
Foot & Leg Treatments,foot-leg-treatments
Tooth Care,tooth-care
Tooth Whiteners,tooth-whiteners
Toothpaste,toothpaste
Gifts & Sets,bath-body-gift-sets
Fragrances,perfume
Hair Accessories,hair-accessories
Hair Care,hair-care
Conditioner,hair-conditioner
Lightweight Conditioner,hair-conditioner-lightweight
Intensive Conditioner,hair-conditioner-intensive
Hair Styling Tools,hair-styling-tools
Blow Dryers & Irons,blow-dryers-irons
Brushes & Combs,hair-styling-tools-brushes-combs
Styling Accessories,hair-styling-tools-styling-accessories
Hair & Scalp Treatments,hair-scalp-treatments
Shampoo,hair-shampoo
Normal Hair Shampoo,hair-shampoo-normal
Dry Hair Shampoo,hair-shampoo-dry
Damaged or Treated Hair Shampoo,hair-shampoo-damaged-chemically-treated
Shampoo Oily/Dandruff,hair-shampoo-oily-dandruff
Styling Products,hair-styling-products
Makeup,makeup
Body Products,beauty-body-makeup
Body Shimmer & Glitter,body-shimmer-glitter
Body Makeup,body-makeup
Eye Makeup,eye-makeup
Eye Shadow,eye-shadow
Eyes Shimmer & Glitter,eyes-shimmer-glitter
Eyeliner,eyeliner
Mascara,mascara
False Eyelashes,false-eyelashes
Eyebrow Enhancers,eyebrow-enhancers
Eyes Concealer/Shadow Base,eyes-concealer-shadow-base
Eyes Eye Makeup Remover,eye-makeup-remover
Face Makeup,face-makeup
Face Blush,blush
Face Primer,face-primer
Face Concealer,face-concealer
Liquid Foundation,face-liquid-foundation
Cream Foundation,face-cream-foundation
Powder Foundation,face-powder-foundation
Loose Powder,face-loose-powder
Pressed Powder,face-pressed-powder
Shine Control/Blotting Papers,face-shine-control-blotting-papers
Face Bronzer,face-bronzer
Face Luminizer,face-luminizer
Face Shimmer & Glitter,face-shimmer-glitter
Lip Products,lip-products
Lip Gloss,lip-gloss
Lip Plumpers,lip-plumpers
Lipstick,lipstick
Lip Stain,lip-stain
Lip Pencils,lip-pencils
Lip Treatments,lip-treatments
Nail Products,nail-products
Nail Treatments,nail-treatments
Nail Polish,nail-polish
Makeup Sets,makeup-sets
Skin Care,skin-care
Eye Care,eye-care
Eyes Fine Lines & Wrinkles,eyes-fine-lines-wrinkles
Eyes Dryness,eyes-dryness
Dark Circles,eyes-dark-circles
Eyes Puffiness,eyes-puffiness
Eye Treatments,eye-treatments
Face Care,face-care
Face Makeup Removers,face-makeup-removers
Face Cleansers,face-cleansers
Face Toners,face-toners
Face Moisturizers,face-moisturizers
Face Tinted Moisturizers,face-tinted-moisturizers
Lip Balm/Treatments,lip-balm-treatments
Face Anti-Aging,face-anti-aging
Face Oil/Blemish Control,face-oil-blemish-control
Face Scrubs & Exfoliants,face-scrubs-exfoliants
Face Masks,face-masks
Face Skin Revitalizers,face-skin-revitalizers
Face Skin Lighteners,face-skin-lighteners
Face Night Treatments,face-night-treatments
Sun Care,sun-care
SPF 15 & Below,spf-15-below
SPF 15 & Above,spf-15-above
Sun Water Resistant,sun-water-resistant
After Sun,after-sun
Sun Bronzers & Self-Tanners,sun-bronzers-self-tanners
Beauty Tools,beauty-tools
Bags & Cases,beauty-tools-bags-cases
Makeup & Travel Bags,makeup-travel-bags
Brush Bags,bags-cases-brush-bags
Train Cases,bags-cases-train-cases
Refillables,bags-cases-refillables
Brushes & Applicators,beauty-tools-brushes-applicators
Face Brushes & Applicators,brushes-applicators-face
Eyes Brushes & Applicators,brushes-applicators-eyes
Lips Brushes & Applicators,brushes-applicators-lips
Brushes & Applicators Sets,brushes-applicators-sets
Brushes & Applicators Cleaners,brushes-applicators-cleaners
Eyelash Curler,beauty-tools-eyelash-curler
Foot Tools,beauty-tools-foot-tools
Hair Removal,beauty-tools-hair-removal
Nail Tools,beauty-tools-nail-tools
Beauty Mirrors,beauty-tools-mirrors
Tools Scissors & Shears,beauty-tools-scissors-shears
Sharpeners,beauty-tools-sharpeners
Skincare Tools,beauty-tools-skincare-tools
Tweezers & Brow,beauty-tools-tweezers-brow
Men's Fashion,men
Clothing,mens-clothes
