name,id
Blade + Blue,2393
Sperry,2398
Minted,2401
Veronica Beard,2403
Buy Buy Baby,2404
Fashion to Figure,2406
OSEA Malibu,2410
Peony & Me,2411
Sandro,2412
Tula,2415
Tumi,2416
Tuxe Bodywear,2417
Journelle,2419
Lulu Frost,2430
TJ Maxx,2432
Apple,2437
South Moon Under,2442
Juice Beauty,2443
Herve Leger,2447
BCBGeneration,2448
Wala Swim,2449
Fleur du Mal,2450
Italist,2451
Mela Artisans,2452
Negative Underwear,2453
Selfridges,2454
Rachel Parcell,2455
Apothica,2462
MCM Worldwide,2463
Rothy's,2464
The Webster,2467
NOVICA,2468
Marks and Spencer,2470
Mindy Mae's Market,2473
Donald J Pliner,2482
Etsy,1688
Tula,2415
Expedia,2395
